"コード","銘柄名","市場"
"2533","オエノンＨＬＤＧ","東P"
"2540","養命酒製造","東P"
"2579","コカ・コーラボトラーズＪＰＨＤ","東P"
"2587","サントリー食品インターナショナ","東P"
"2590","ダイドーグループＨＬＤＧ","東P"
"2593","伊藤園","東P"
"2594","キーコーヒー","東P"
"2602","日清オイリオグループ","東P"
"2607","不二製油グループ本社","東P"
"2613","Ｊ―オイルミルズ","東P"
"2651","ローソン","東P"
"2659","サンエー","東P"
"2664","カワチ薬品","東P"
"2670","エービーシー・マート","東P"
"2674","ハードオフコーポレーション","東P"
"2676","高千穂交易","東P"
"2678","アスクル","東P"
"2681","ゲオＨＬＤＧ","東P"
"2685","アダストリア","東P"
"2692","伊藤忠食品","東P"
"2695","くら寿司","東P"
"2715","エレマテック","東P"
"2722","ＩＫＨＬＤＧ","東P"
"2726","パルグループＨＬＤＧ","東P"
"2730","エディオン","東P"
"2733","あらた","東P"
"2734","サーラコーポレーション","東P"
"2735","ワッツ","東P"
"2737","トーメンデバイス","東P"
"2742","ハローズ","東P"
"2749","ＪＰ　ＨＬＤＧ","東P"
"2752","フジオフードグループ本社","東P"
"2753","あみやき亭","東P"
"2760","東京エレクトロン　デバイス","東P"
"2764","ひらまつ","東P"
"2767","円谷フィールズＨＬＤＧ","東P"
"2768","双日","東P"
"2784","アルフレッサＨＬＤＧ","東P"
"2791","大黒天物産","東P"
"2792","ハニーズＨＬＤＧ","東P"
"2796","ファーマライズホールディングス","東P"
"2801","キッコーマン","東P"
"2802","味の素","東P"
"2804","ブルドックソース","東P"
"2809","キユーピー","東P"
"2810","ハウス食品グループ本社","東P"
"2811","カゴメ","東P"
"2815","アリアケジャパン","東P"
"2818","ピエトロ","東P"
"2820","やまみ","東P"
"2871","ニチレイ","東P"
"2874","横浜冷凍","東P"
"2875","東洋水産","東P"
"2882","イートアンドＨＬＤＧ","東P"
"2884","ヨシムラ・フード・ＨＬＤＧ","東P"
"2897","日清食品ＨＬＤＧ","東P"
"2899","永谷園ＨＬＤＧ","東P"
"2904","一正蒲鉾","東P"
"2908","フジッコ","東P"
"2910","ロック・フィールド","東P"
"2914","日本たばこ産業","東P"
"2915","ケンコーマヨネーズ","東P"
"2918","わらべや日洋ＨＬＤＧ","東P"
"2922","なとり","東P"
"2929","ファーマフーズ","東P"
"2930","北の達人","東P"
"2931","ユーグレナ","東P"
"2933","紀文食品","東P"
"2935","ピックルスＨＬＤＧ","東P"
"2975","スター・マイカ・ＨＬＤＧ","東P"
"2980","ＳＲＥ　ＨＬＤＧ","東P"
"2982","ＡＤワークスグループ","東P"
"3002","グンゼ","東P"
"3003","ヒューリック","東P"
"3028","アルペン","東P"
"3030","ハブ","東P"
"3031","ラクーンＨＬＤＧ","東P"
"3034","クオールＨＬＤＧ","東P"
"3036","アルコニックス","東P"
"3038","神戸物産","東P"
"3040","ソリトンシステムズ","東P"
"3046","ジンズＨＬＤＧ","東P"
"3048","ビックカメラ","東P"
"3050","ＤＣＭ　ＨＬＤＧ","東P"
"3053","ペッパーフードサービス","東P"
"3054","ハイパー","東P"
"3064","ＭｏｎｏｔａＲＯ","東P"
"3067","東京一番フーズ","東P"
"3073","ＤＤ　ＨＬＤＧ","東P"
"3076","あいＨＬＤＧ","東P"
"3085","アークランドサービスＨＬＤＧ","東P"
"3086","Ｊ．フロント　リテイリング","東P"
"3087","ドトール・日レスＨＬＤＧ","東P"
"3088","マツキヨココカラ＆カンパニー","東P"
"3091","ブロンコビリー","東P"
"3092","ＺＯＺＯ","東P"
"3093","トレジャー・ファクトリー","東P"
"3097","物語コーポレーション","東P"
"3099","三越伊勢丹ＨＬＤＧ","東P"
"3101","東洋紡","東P"
"3103","ユニチカ","東P"
"3104","富士紡ＨＬＤＧ","東P"
"3105","日清紡ＨＬＤＧ","東P"
"3106","倉敷紡績","東P"
"3107","ダイワボウＨＬＤＧ","東P"
"3109","シキボウ","東P"
"3110","日東紡績","東P"
"3116","トヨタ紡織","東P"
"3132","マクニカＨＬＤＧ","東P"
"3134","Ｈａｍｅｅ","東P"
"3135","マーケットエンタープライズ","東P"
"3139","ラクト・ジャパン","東P"
"3141","ウエルシアＨＬＤＧ","東P"
"3148","クリエイトＳＤ　ＨＬＤＧ","東P"
"3150","グリムス","東P"
"3151","バイタルケーエスケーＨＬＤＧ","東P"
"3153","八洲電機","東P"
"3154","メディアスＨＬＤＧ","東P"
"3156","レスターＨＬＤＧ","東P"
"3166","ＯＣＨＩ　ＨＬＤＧ","東P"
"3167","ＴＯＫＡＩ　ＨＬＤＧ","東P"
"3173","Ｃｏｍｉｎｉｘ","東P"
"3176","三洋貿易","東P"
"3179","シュッピン","東P"
"3180","ビューティガレージ","東P"
"3182","オイシックス・ラ・大地","東P"
"3183","ウイン・パートナーズ","東P"
"3186","ネクステージ","東P"
"3191","ジョイフル本田","東P"
"3193","鳥貴族ＨＬＤＧ","東P"
"3196","ホットランド","東P"
"3197","すかいらーくＨＬＤＧ","東P"
"3198","ＳＦＰ　ＨＬＤＧ","東P"
"3199","綿半ＨＬＤＧ","東P"
"3201","日本毛織","東P"
"3221","ヨシックスＨＬＤＧ","東P"
"3228","三栄建築設計","東P"
"3231","野村不動産ＨＬＤＧ","東P"
"3232","三重交通グループＨＬＤＧ","東P"
"3244","サムティ","東P"
"3245","ディア・ライフ","東P"
"3252","地主","東P"
"3267","フィル・カンパニー","東P"
"3275","ハウスコム","東P"
"3276","ＪＰＭＣ","東P"
"3284","フージャースＨＬＤＧ","東P"
"3288","オープンハウスグループ","東P"
"3289","東急不動産ＨＬＤＧ","東P"
"3291","飯田グループＨＬＤＧ","東P"
"3299","ムゲンエステート","東P"
"3302","帝国繊維","東P"
"3315","日本コークス工業","東P"
"3319","ゴルフダイジェスト・オンライン","東P"
