"コード","銘柄名","市場"
"2778","パレモＨＬＤＧ","東S"
"2780","コメ兵ＨＬＤＧ","東S"
"2782","セリア","東S"
"2788","アップルインターナショナル","東S"
"2789","カルラ","東S"
"2790","ナフコ","東S"
"2795","日本プリメックス","東S"
"2798","ワイズテーブルコーポレーション","東S"
"2805","エスビー食品","東S"
"2806","ユタカフーズ","東S"
"2812","焼津水産化学工業","東S"
"2813","和弘食品","東S"
"2814","佐藤食品工業","東S"
"2816","ダイショー","東S"
"2819","エバラ食品工業","東S"
"2830","アヲハタ","東S"
"2831","はごろもフーズ","東S"
"2872","セイヒョー","東S"
"2876","デルソーレ","東S"
"2877","日東ベスト","東S"
"2883","大冷","東S"
"2892","日本食品化工","東S"
"2894","石井食品","東S"
"2901","石垣食品","東S"
"2903","シノブフーズ","東S"
"2907","あじかん","東S"
"2911","旭松食品","東S"
"2916","仙波糖化工業","東S"
"2917","大森屋","東S"
"2923","サトウ食品","東S"
"2924","イフジ産業","東S"
"2926","篠崎屋","東S"
"2927","ＡＦＣ―ＨＤアムスライフ","東S"
"2932","ＳＴＩフードＨＬＤＧ","東S"
"2961","日本調理機","東S"
"2970","グッドライフカンパニー","東S"
"2984","ヤマイチ・ユニハイムエステート","東S"
"2991","ランドネット","東S"
"2993","長栄","東S"
"2999","ホームポジション","東S"
"3001","片倉工業","東S"
"3004","神栄","東S"
"3010","ポラリス・ＨＬＤＧ","東S"
"3011","バナーズ","東S"
"3020","アプライド","東S"
"3021","パシフィックネット","東S"
"3023","ラサ商事","東S"
"3024","クリエイト","東S"
"3035","ケイティケイ","東S"
"3041","ビューティ花壇","東S"
"3045","カワサキ","東S"
"3058","三洋堂ＨＬＤＧ","東S"
"3059","ヒラキ","東S"
"3065","ライフフーズ","東S"
"3068","ＷＤＩ","東S"
"3069","ＪＦＬＡ　ＨＬＤＧ","東S"
"3071","ストリーム","東S"
"3075","銚子丸","東S"
"3077","ホリイフードサービス","東S"
"3079","ディーブイエックス","東S"
"3080","ジェーソン","東S"
"3082","きちりＨＬＤＧ","東S"
"3083","シーズメン","東S"
"3089","テクノアルファ","東S"
"3094","スーパーバリュー","東S"
"3096","オーシャンシステム","東S"
"3111","オーミケンシ","東S"
"3113","Ｏａｋキャピタル","東S"
"3121","マーチャント・バンカーズ","東S"
"3123","サイボー","東S"
"3131","シンデン・ハイテックス","東S"
"3143","オーウイル","東S"
"3157","ジューテックＨＬＤＧ","東S"
"3159","丸善ＣＨＩ　ＨＬＤＧ","東S"
"3160","大光","東S"
"3161","アゼアス","東S"
"3168","黒谷","東S"
"3169","ミサワ","東S"
"3172","ティーライフ","東S"
"3174","ハピネス・アンド・ディ","東S"
"3175","エー・ピーＨＬＤＧ","東S"
"3177","ありがとうサービス","東S"
"3178","チムニー","東S"
"3181","買取王国","東S"
"3184","ＩＣＤＡ　ＨＬＤＧ","東S"
"3189","ＡＮＡＰ","東S"
"3190","ホットマン","東S"
"3192","白鳩","東S"
"3202","ダイトウボウ","東S"
"3204","トーア紡コーポレーション","東S"
"3205","ダイドーリミテッド","東S"
"3222","ユナイテッド・スーパーマーケッ","東S"
"3223","エスエルディー","東S"
"3236","プロパスト","東S"
"3238","セントラル総合開発","東S"
"3241","ウィル","東S"
"3242","アーバネットコーポレーション","東S"
"3246","コーセーアールイー","東S"
"3248","アールエイジ","東S"
"3254","プレサンスコーポレーション","東S"
"3264","アスコット","東S"
"3266","ファンドクリエーショングループ","東S"
"3271","ＴＨＥグローバル社","東S"
"3277","サンセイランディック","東S"
"3280","エストラスト","東S"
"3293","アズマハウス","東S"
"3294","イーグランド","東S"
"3297","東武住販","東S"
"3306","日本製麻","東S"
"3316","東京日産コンピュータシステム","東S"
"3317","フライングガーデン","東S"
"3320","クロスプラス","東S"
"3321","ミタチ産業","東S"
"3322","アルファグループ","東S"
"3323","レカム","東S"
"3326","ランシステム","東S"
"3329","東和フードサービス","東S"
"3347","トラスト","東S"
"3350","メタプラネット","東S"
"3352","バッファロー","東S"
"3353","メディカル一光グループ","東S"
"3355","クリヤマＨＬＤＧ","東S"
"3358","ワイエスフード","東S"
"3361","トーエル","東S"
"3370","フジタコーポレーション","東S"
"3372","関門海","東S"
"3374","内外テック","東S"
"3375","ＺＯＡ","東S"
"3377","バイク王＆カンパニー","東S"
"3386","コスモ・バイオ","東S"
"3392","デリカフーズＨＬＤＧ","東S"
"3396","フェリシモ","東S"
"3399","丸千代山岡家","東S"
"3409","北日本紡績","東S"
"3417","大木ヘルスケアＨＬＤＧ","東S"
"3420","ケー・エフ・シー","東S"
"3421","稲葉製作所","東S"
"3422","Ｊ−ＭＡＸ","東S"
"3423","エスイー","東S"
"3426","アトムリビンテック","東S"
"3434","アルファＣｏ","東S"
"3435","サンコーテクノ","東S"
"3437","特殊電極","東S"
"3439","三ツ知","東S"
"3440","日創プロニティ","東S"
"3441","山王","東S"
"3444","菊池製作所","東S"
"3447","信和","東S"
"3449","テクノフレックス","東S"
"3469","デュアルタップ","東S"
"3490","アズ企画設計","東S"
"3494","マリオン","東S"
"3495","香陵住販","東S"
